Time | RefInterval | ActualInterval | AvgPlayerInterval
--------------------------------------------------------
1s | RefInterval: 2.439 | ActualInterval: 2.160 | AvgPlayerInterval: 2.160
2s | RefInterval: 2.379 | ActualInterval: 1.820 | AvgPlayerInterval: 1.820
2s | RefInterval: 2.322 | ActualInterval: 1.480 | AvgPlayerInterval: 1.480
3s | RefInterval: 2.267 | ActualInterval: 1.140 | AvgPlayerInterval: 1.140
4s | RefInterval: 2.214 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
5s | RefInterval: 2.163 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
6s | RefInterval: 2.114 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
6s | RefInterval: 2.066 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
7s | RefInterval: 2.020 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
8s | RefInterval: 1.976 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
9s | RefInterval: 1.934 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
10s | RefInterval: 1.893 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
10s | RefInterval: 1.853 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
11s | RefInterval: 1.815 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
12s | RefInterval: 1.778 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
13s | RefInterval: 1.743 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
14s | RefInterval: 1.709 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
14s | RefInterval: 1.676 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
15s | RefInterval: 1.644 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
16s | RefInterval: 1.614 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
17s | RefInterval: 1.584 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
18s | RefInterval: 1.556 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
18s | RefInterval: 1.529 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
19s | RefInterval: 1.502 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
20s | RefInterval: 1.477 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
21s | RefInterval: 1.452 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
22s | RefInterval: 1.429 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
22s | RefInterval: 1.406 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
23s | RefInterval: 1.384 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
24s | RefInterval: 1.363 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
25s | RefInterval: 1.343 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
26s | RefInterval: 1.323 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
26s | RefInterval: 1.304 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
27s | RefInterval: 1.286 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
28s | RefInterval: 1.268 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
29s | RefInterval: 1.251 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
30s | RefInterval: 1.235 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
30s | RefInterval: 1.219 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
31s | RefInterval: 1.204 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
32s | RefInterval: 1.189 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
33s | RefInterval: 1.175 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
34s | RefInterval: 1.162 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
34s | RefInterval: 1.149 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
35s | RefInterval: 1.136 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
36s | RefInterval: 1.124 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
37s | RefInterval: 1.112 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
38s | RefInterval: 1.101 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
38s | RefInterval: 1.090 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
39s | RefInterval: 1.080 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
40s | RefInterval: 1.069 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
41s | RefInterval: 1.060 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
42s | RefInterval: 1.050 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
42s | RefInterval: 1.041 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
43s | RefInterval: 1.033 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
44s | RefInterval: 1.024 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
45s | RefInterval: 1.016 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
46s | RefInterval: 1.008 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
46s | RefInterval: 1.001 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
47s | RefInterval: 0.993 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
48s | RefInterval: 0.986 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
49s | RefInterval: 0.980 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
50s | RefInterval: 0.973 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
50s | RefInterval: 0.967 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
51s | RefInterval: 0.961 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
52s | RefInterval: 0.955 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
53s | RefInterval: 0.949 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
54s | RefInterval: 0.944 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
54s | RefInterval: 0.939 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
55s | RefInterval: 0.934 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
56s | RefInterval: 0.929 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
57s | RefInterval: 0.924 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
58s | RefInterval: 0.920 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
58s | RefInterval: 0.915 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
59s | RefInterval: 0.911 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
60s | RefInterval: 0.907 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
61s | RefInterval: 0.903 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
62s | RefInterval: 0.900 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
62s | RefInterval: 0.896 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
63s | RefInterval: 0.893 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
64s | RefInterval: 0.889 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
65s | RefInterval: 0.886 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
66s | RefInterval: 0.883 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
66s | RefInterval: 0.880 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
67s | RefInterval: 0.877 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
68s | RefInterval: 0.874 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
69s | RefInterval: 0.872 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
70s | RefInterval: 0.869 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
70s | RefInterval: 0.866 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
71s | RefInterval: 0.864 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
72s | RefInterval: 0.862 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
73s | RefInterval: 0.859 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
74s | RefInterval: 0.857 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
74s | RefInterval: 0.855 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
75s | RefInterval: 0.853 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
76s | RefInterval: 0.851 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
77s | RefInterval: 0.849 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
78s | RefInterval: 0.848 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
78s | RefInterval: 0.846 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
79s | RefInterval: 0.844 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
80s | RefInterval: 0.843 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
81s | RefInterval: 0.841 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
82s | RefInterval: 0.840 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
82s | RefInterval: 0.838 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
83s | RefInterval: 0.837 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
84s | RefInterval: 0.836 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
85s | RefInterval: 0.834 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
86s | RefInterval: 0.833 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
86s | RefInterval: 0.832 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
87s | RefInterval: 0.831 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
88s | RefInterval: 0.830 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
89s | RefInterval: 0.828 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
90s | RefInterval: 0.827 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
90s | RefInterval: 0.826 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
91s | RefInterval: 0.825 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
92s | RefInterval: 0.825 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
93s | RefInterval: 0.824 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
94s | RefInterval: 0.823 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
94s | RefInterval: 0.822 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
95s | RefInterval: 0.821 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
96s | RefInterval: 0.820 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
97s | RefInterval: 0.820 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
98s | RefInterval: 0.819 | ActualInterval: 0.800 | AvgPlayerInterval: 0.800
98s | RefInterval: 0.818 | ActualInterval: 0.805 | AvgPlayerInterval: 0.800
99s | RefInterval: 0.818 | ActualInterval: 0.811 | AvgPlayerInterval: 0.800
100s | RefInterval: 0.817 | ActualInterval: 0.817 | AvgPlayerInterval: 0.800
