Time | RefInterval | ActualInterval | AvgPlayerInterval
50s | RefInterval: 0.655 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
51s | RefInterval: 0.653 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
52s | RefInterval: 0.652 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
52s | RefInterval: 0.650 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
53s | RefInterval: 0.648 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
54s | RefInterval: 0.647 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
55s | RefInterval: 0.645 | ActualInterval: 0.700 | AvgPlayerInterval: 0.700
55s | RefInterval: 0.644 | ActualInterval: 0.695 | AvgPlayerInterval: 0.700
56s | RefInterval: 0.643 | ActualInterval: 0.686 | AvgPlayerInterval: 0.700
57s | RefInterval: 0.642 | ActualInterval: 0.677 | AvgPlayerInterval: 0.700
57s | RefInterval: 0.641 | ActualInterval: 0.668 | AvgPlayerInterval: 0.700
58s | RefInterval: 0.639 | ActualInterval: 0.660 | AvgPlayerInterval: 0.700
59s | RefInterval: 0.638 | ActualInterval: 0.651 | AvgPlayerInterval: 0.700
59s | RefInterval: 0.637 | ActualInterval: 0.643 | AvgPlayerInterval: 0.700
60s | RefInterval: 0.637 | ActualInterval: 0.637 | AvgPlayerInterval: 0.700
61s | RefInterval: 0.636 | ActualInterval: 0.636 | AvgPlayerInterval: 0.700
62s | RefInterval: 0.635 | ActualInterval: 0.635 | AvgPlayerInterval: 0.700
62s | RefInterval: 0.634 | ActualInterval: 0.634 | AvgPlayerInterval: 0.700
63s | RefInterval: 0.633 | ActualInterval: 0.633 | AvgPlayerInterval: 0.700
64s | RefInterval: 0.633 | ActualInterval: 0.633 | AvgPlayerInterval: 0.700
64s | RefInterval: 0.632 | ActualInterval: 0.632 | AvgPlayerInterval: 0.700
65s | RefInterval: 0.631 | ActualInterval: 0.631 | AvgPlayerInterval: 0.700
66s | RefInterval: 0.631 | ActualInterval: 0.631 | AvgPlayerInterval: 0.700
66s | RefInterval: 0.630 | ActualInterval: 0.630 | AvgPlayerInterval: 0.700
67s | RefInterval: 0.630 | ActualInterval: 0.630 | AvgPlayerInterval: 0.700
68s | RefInterval: 0.629 | ActualInterval: 0.629 | AvgPlayerInterval: 0.700
69s | RefInterval: 0.629 | ActualInterval: 0.629 | AvgPlayerInterval: 0.700
69s | RefInterval: 0.628 | ActualInterval: 0.628 | AvgPlayerInterval: 0.700
70s | RefInterval: 0.628 | ActualInterval: 0.628 | AvgPlayerInterval: 0.700
71s | RefInterval: 0.627 | ActualInterval: 0.627 | AvgPlayerInterval: 0.700
71s | RefInterval: 0.627 | ActualInterval: 0.627 | AvgPlayerInterval: 0.700
72s | RefInterval: 0.627 | ActualInterval: 0.627 | AvgPlayerInterval: 0.700
73s | RefInterval: 0.626 | ActualInterval: 0.626 | AvgPlayerInterval: 0.700
73s | RefInterval: 0.626 | ActualInterval: 0.626 | AvgPlayerInterval: 0.700
74s | RefInterval: 0.626 | ActualInterval: 0.626 | AvgPlayerInterval: 0.700
75s | RefInterval: 0.625 | ActualInterval: 0.625 | AvgPlayerInterval: 0.700
76s | RefInterval: 0.625 | ActualInterval: 0.625 | AvgPlayerInterval: 0.700
76s | RefInterval: 0.625 | ActualInterval: 0.625 | AvgPlayerInterval: 0.700
77s | RefInterval: 0.625 | ActualInterval: 0.625 | AvgPlayerInterval: 0.700
78s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 0.700
78s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 0.700
79s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 0.700
80s | RefInterval: 0.624 | ActualInterval: 0.624 | AvgPlayerInterval: 0.700
80s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
81s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
82s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
83s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
83s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
