Time | RefInterval | ActualInterval | AvgPlayerInterval
--------------------------------------------------------
2s | RefInterval: 2.350 | ActualInterval: 2.400 | AvgPlayerInterval: 2.400
4s | RefInterval: 2.214 | ActualInterval: 2.300 | AvgPlayerInterval: 2.300
6s | RefInterval: 2.090 | ActualInterval: 2.200 | AvgPlayerInterval: 2.200
8s | RefInterval: 1.976 | ActualInterval: 2.100 | AvgPlayerInterval: 2.100
10s | RefInterval: 1.873 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
12s | RefInterval: 1.778 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
14s | RefInterval: 1.692 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
16s | RefInterval: 1.614 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
18s | RefInterval: 1.542 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
20s | RefInterval: 1.477 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
22s | RefInterval: 1.417 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
24s | RefInterval: 1.363 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
26s | RefInterval: 1.313 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
28s | RefInterval: 1.268 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
30s | RefInterval: 1.227 | ActualInterval: 2.000 | AvgPlayerInterval: 2.000
32s | RefInterval: 1.189 | ActualInterval: 1.998 | AvgPlayerInterval: 2.000
34s | RefInterval: 1.155 | ActualInterval: 1.918 | AvgPlayerInterval: 2.000
36s | RefInterval: 1.124 | ActualInterval: 1.843 | AvgPlayerInterval: 2.000
38s | RefInterval: 1.095 | ActualInterval: 1.775 | AvgPlayerInterval: 2.000
40s | RefInterval: 1.069 | ActualInterval: 1.711 | AvgPlayerInterval: 2.000
42s | RefInterval: 1.046 | ActualInterval: 1.652 | AvgPlayerInterval: 2.000
44s | RefInterval: 1.024 | ActualInterval: 1.598 | AvgPlayerInterval: 2.000
46s | RefInterval: 1.004 | ActualInterval: 1.547 | AvgPlayerInterval: 2.000
48s | RefInterval: 0.986 | ActualInterval: 1.499 | AvgPlayerInterval: 2.000
50s | RefInterval: 0.970 | ActualInterval: 1.455 | AvgPlayerInterval: 2.000
52s | RefInterval: 0.955 | ActualInterval: 1.413 | AvgPlayerInterval: 2.000
54s | RefInterval: 0.941 | ActualInterval: 1.374 | AvgPlayerInterval: 2.000
56s | RefInterval: 0.929 | ActualInterval: 1.338 | AvgPlayerInterval: 2.000
58s | RefInterval: 0.918 | ActualInterval: 1.303 | AvgPlayerInterval: 2.000
60s | RefInterval: 0.907 | ActualInterval: 1.270 | AvgPlayerInterval: 2.000
62s | RefInterval: 0.898 | ActualInterval: 1.239 | AvgPlayerInterval: 2.000
64s | RefInterval: 0.889 | ActualInterval: 1.209 | AvgPlayerInterval: 2.000
66s | RefInterval: 0.881 | ActualInterval: 1.181 | AvgPlayerInterval: 2.000
68s | RefInterval: 0.874 | ActualInterval: 1.154 | AvgPlayerInterval: 2.000
70s | RefInterval: 0.868 | ActualInterval: 1.128 | AvgPlayerInterval: 2.000
72s | RefInterval: 0.862 | ActualInterval: 1.103 | AvgPlayerInterval: 2.000
74s | RefInterval: 0.856 | ActualInterval: 1.079 | AvgPlayerInterval: 2.000
76s | RefInterval: 0.851 | ActualInterval: 1.056 | AvgPlayerInterval: 2.000
78s | RefInterval: 0.847 | ActualInterval: 1.033 | AvgPlayerInterval: 2.000
80s | RefInterval: 0.843 | ActualInterval: 1.011 | AvgPlayerInterval: 2.000
82s | RefInterval: 0.839 | ActualInterval: 0.990 | AvgPlayerInterval: 2.000
84s | RefInterval: 0.836 | ActualInterval: 0.969 | AvgPlayerInterval: 2.000
86s | RefInterval: 0.832 | ActualInterval: 0.949 | AvgPlayerInterval: 2.000
88s | RefInterval: 0.830 | ActualInterval: 0.929 | AvgPlayerInterval: 2.000
90s | RefInterval: 0.827 | ActualInterval: 0.910 | AvgPlayerInterval: 2.000
92s | RefInterval: 0.825 | ActualInterval: 0.891 | AvgPlayerInterval: 2.000
94s | RefInterval: 0.822 | ActualInterval: 0.872 | AvgPlayerInterval: 2.000
96s | RefInterval: 0.820 | ActualInterval: 0.853 | AvgPlayerInterval: 2.000
98s | RefInterval: 0.819 | ActualInterval: 0.835 | AvgPlayerInterval: 2.000
100s | RefInterval: 0.817 | ActualInterval: 0.817 | AvgPlayerInterval: 2.000
102s | RefInterval: 0.816 | ActualInterval: 0.816 | AvgPlayerInterval: 2.000
104s | RefInterval: 0.814 | ActualInterval: 0.814 | AvgPlayerInterval: 2.000
106s | RefInterval: 0.813 | ActualInterval: 0.813 | AvgPlayerInterval: 2.000
108s | RefInterval: 0.812 | ActualInterval: 0.812 | AvgPlayerInterval: 2.000
110s | RefInterval: 0.811 | ActualInterval: 0.811 | AvgPlayerInterval: 2.000
112s | RefInterval: 0.810 | ActualInterval: 0.810 | AvgPlayerInterval: 2.000
114s | RefInterval: 0.809 | ActualInterval: 0.809 | AvgPlayerInterval: 2.000
116s | RefInterval: 0.808 | ActualInterval: 0.808 | AvgPlayerInterval: 2.000
118s | RefInterval: 0.807 | ActualInterval: 0.807 | AvgPlayerInterval: 2.000
120s | RefInterval: 0.807 | ActualInterval: 0.807 | AvgPlayerInterval: 2.000
