Time | RefInterval | ActualInterval | AvgPlayerInterval
--------------------------------------------------------
1s | RefInterval: 2.461 | ActualInterval: 2.100 | AvgPlayerInterval: 2.100
1s | RefInterval: 2.423 | ActualInterval: 1.700 | AvgPlayerInterval: 1.700
2s | RefInterval: 2.387 | ActualInterval: 1.300 | AvgPlayerInterval: 1.300
2s | RefInterval: 2.350 | ActualInterval: 0.900 | AvgPlayerInterval: 0.900
3s | RefInterval: 2.315 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
3s | RefInterval: 2.281 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
3s | RefInterval: 2.247 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
4s | RefInterval: 2.214 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
4s | RefInterval: 2.182 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
5s | RefInterval: 2.150 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
5s | RefInterval: 2.120 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
6s | RefInterval: 2.090 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
6s | RefInterval: 2.060 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
7s | RefInterval: 2.032 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
7s | RefInterval: 2.004 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
8s | RefInterval: 1.976 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
8s | RefInterval: 1.949 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
9s | RefInterval: 1.923 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
10s | RefInterval: 1.898 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
10s | RefInterval: 1.873 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
11s | RefInterval: 1.848 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
11s | RefInterval: 1.824 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
12s | RefInterval: 1.801 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
12s | RefInterval: 1.778 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
13s | RefInterval: 1.756 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
13s | RefInterval: 1.734 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
14s | RefInterval: 1.713 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
14s | RefInterval: 1.692 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
15s | RefInterval: 1.672 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
15s | RefInterval: 1.652 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
16s | RefInterval: 1.633 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
16s | RefInterval: 1.614 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
17s | RefInterval: 1.595 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
17s | RefInterval: 1.577 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
18s | RefInterval: 1.559 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
18s | RefInterval: 1.542 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
19s | RefInterval: 1.525 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
19s | RefInterval: 1.509 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
20s | RefInterval: 1.493 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
20s | RefInterval: 1.477 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
21s | RefInterval: 1.461 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
21s | RefInterval: 1.446 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
22s | RefInterval: 1.432 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
22s | RefInterval: 1.417 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
23s | RefInterval: 1.403 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
23s | RefInterval: 1.389 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
24s | RefInterval: 1.376 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
24s | RefInterval: 1.363 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
25s | RefInterval: 1.350 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
25s | RefInterval: 1.338 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
26s | RefInterval: 1.325 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
26s | RefInterval: 1.313 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
27s | RefInterval: 1.302 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
27s | RefInterval: 1.290 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
28s | RefInterval: 1.279 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
28s | RefInterval: 1.268 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
29s | RefInterval: 1.258 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
29s | RefInterval: 1.247 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
30s | RefInterval: 1.237 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
30s | RefInterval: 1.227 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
31s | RefInterval: 1.217 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
31s | RefInterval: 1.208 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
32s | RefInterval: 1.199 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
32s | RefInterval: 1.189 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
33s | RefInterval: 1.181 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
33s | RefInterval: 1.172 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
34s | RefInterval: 1.163 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
34s | RefInterval: 1.155 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
35s | RefInterval: 1.147 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
35s | RefInterval: 1.139 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
36s | RefInterval: 1.131 | ActualInterval: 0.500 | AvgPlayerInterval: 0.500
